cfg,top,macro,htf,entry,swept,btc_n,btc_closed,btc_wr,btc_R,btc_LR,btc_SR,btc_posyrs,btc_nyrs,btc_h1,btc_h2,eth_closed,eth_R,sol_closed,sol_R,cross,two_sided,year_ok,oos,PASS,null_p,btc_R_rr15,btc_R_rr25
topOB-macOB-htfOB-deep,OB,OB,OB,deep,0,1721,1680,38.2,246.0,173.0,73.0,7,7,134.0,112.0,1452,315.0,1334,118.0,1,1,1,1,1,0.000,233.0,267.0
topOB-macOB-htfOB-deep-SW,OB,OB,OB,deep,1,816,792,36.5,75.0,56.0,19.0,6,7,45.0,30.0,667,83.0,668,-29.0,1,1,1,1,1,0.030,78.5,62.0
topOB-macOB-htfOB-sametf,OB,OB,OB,sametf,0,264,252,39.7,48.0,36.0,12.0,5,7,42.0,6.0,220,95.0,193,56.0,1,1,1,1,1,0.003,53.0,70.0
topOB-macOB-htfOB-sametf-SW,OB,OB,OB,sametf,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,-1.0,1,2.0,0,0,0,0,0,,0.0,0.0
topOB-macOB-htfRDRB-deep,OB,OB,RDRB,deep,0,974,967,38.3,143.0,96.0,47.0,6,7,132.0,11.0,877,221.0,788,151.0,1,1,1,1,1,0.000,148.0,106.0
topOB-macOB-htfRDRB-deep-SW,OB,OB,RDRB,deep,1,305,303,38.9,51.0,42.0,9.0,5,7,63.0,-12.0,245,91.0,224,13.0,1,1,1,0,0,,44.5,44.5
topOB-macOB-htfRDRB-sametf,OB,OB,RDRB,sametf,0,11,11,18.2,-5.0,-2.0,-3.0,2,5,0.0,-5.0,6,-3.0,18,6.0,0,0,0,0,0,,-3.5,-4.0
topOB-macOB-htfRDRB-sametf-SW,OB,OB,RDRB,sametf,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,-1.0,0,0,0,0,0,,0.0,0.0
topOB-macFVG-htfOB-deep,OB,FVG,OB,deep,0,834,813,39.7,156.0,120.0,36.0,6,7,85.0,71.0,743,193.0,673,68.0,1,1,1,1,1,0.000,114.0,157.5
topOB-macFVG-htfOB-deep-SW,OB,FVG,OB,deep,1,386,378,39.2,66.0,43.0,23.0,4,7,35.0,31.0,356,100.0,337,11.0,1,1,0,1,0,,65.0,84.0
topOB-macFVG-htfOB-sametf,OB,FVG,OB,sametf,0,132,123,39.0,21.0,17.0,4.0,6,7,11.0,10.0,111,18.0,96,21.0,1,1,1,1,1,0.093,29.5,20.5
topOB-macFVG-htfOB-sametf-SW,OB,FVG,OB,sametf,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2,-2.0,1,2.0,0,0,0,0,0,,0.0,0.0
topOB-macFVG-htfRDRB-deep,OB,FVG,RDRB,deep,0,407,405,38.5,63.0,38.0,25.0,5,7,74.0,-11.0,369,111.0,337,44.0,1,1,1,0,0,,57.5,53.5
topOB-macFVG-htfRDRB-deep-SW,OB,FVG,RDRB,deep,1,121,121,32.2,-4.0,-4.0,0.0,2,7,6.0,-10.0,96,57.0,96,39.0,1,0,0,0,0,,4.0,5.0
topOB-macFVG-htfRDRB-sametf,OB,FVG,RDRB,sametf,0,3,3,0.0,-3.0,-2.0,-1.0,0,3,-1.0,-2.0,1,-1.0,8,4.0,0,0,0,0,0,,-3.0,-3.0
topOB-macFVG-htfRDRB-sametf-SW,OB,FVG,RDRB,sametf,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,,0.0,0.0
topOB-maciFVG-htfOB-deep,OB,iFVG,OB,deep,0,205,200,34.5,7.0,-2.0,9.0,3,7,13.0,-6.0,175,32.0,184,26.0,1,0,0,0,0,,7.5,20.5
topOB-maciFVG-htfOB-deep-SW,OB,iFVG,OB,deep,1,95,95,32.6,-2.0,-5.0,3.0,3,7,-4.0,2.0,96,48.0,91,20.0,1,0,0,0,0,,0.0,6.5
topOB-maciFVG-htfOB-sametf,OB,iFVG,OB,sametf,0,38,37,35.1,2.0,5.0,-3.0,4,7,4.0,-2.0,35,4.0,29,-2.0,1,0,0,0,0,,10.5,1.5
topOB-maciFVG-htfOB-sametf-SW,OB,iFVG,OB,sametf,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,,0.0,0.0
topOB-maciFVG-htfRDRB-deep,OB,iFVG,RDRB,deep,0,113,113,35.4,7.0,-11.0,18.0,4,7,10.0,-3.0,109,35.0,100,32.0,1,0,0,0,0,,2.0,-1.0
topOB-maciFVG-htfRDRB-deep-SW,OB,iFVG,RDRB,deep,1,34,34,32.4,-1.0,-9.0,8.0,2,6,3.0,-4.0,28,23.0,34,23.0,1,0,0,0,0,,1.0,1.0
topOB-maciFVG-htfRDRB-sametf,OB,iFVG,RDRB,sametf,0,1,1,0.0,-1.0,0.0,-1.0,0,1,0.0,-1.0,0,0.0,4,2.0,0,0,0,0,0,,-1.0,-1.0
topOB-maciFVG-htfRDRB-sametf-SW,OB,iFVG,RDRB,sametf,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,,0.0,0.0
topOB-macRDRB-htfOB-deep,OB,RDRB,OB,deep,0,795,772,37.0,86.0,80.0,6.0,6,7,34.0,52.0,670,149.0,573,36.0,1,1,1,1,1,0.010,95.5,85.5
topOB-macRDRB-htfOB-deep-SW,OB,RDRB,OB,deep,1,368,358,35.2,20.0,32.0,-12.0,4,7,-2.0,22.0,286,50.0,270,-42.0,1,0,0,0,0,,4.5,16.5
topOB-macRDRB-htfOB-sametf,OB,RDRB,OB,sametf,0,96,92,42.4,25.0,23.0,2.0,6,7,17.0,8.0,84,36.0,69,15.0,1,1,1,1,1,0.037,23.0,27.0
topOB-macRDRB-htfOB-sametf-SW,OB,RDRB,OB,sametf,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,-1.0,1,2.0,0,0,0,0,0,,0.0,0.0
topOB-macRDRB-htfRDRB-deep,OB,RDRB,RDRB,deep,0,315,313,33.5,2.0,20.0,-18.0,3,7,8.0,-6.0,290,88.0,262,56.0,1,0,0,0,0,,27.0,-1.5
topOB-macRDRB-htfRDRB-deep-SW,OB,RDRB,RDRB,deep,1,91,90,42.2,24.0,21.0,3.0,5,7,28.0,-4.0,69,12.0,72,0.0,1,1,1,0,0,,15.0,22.0
topOB-macRDRB-htfRDRB-sametf,OB,RDRB,RDRB,sametf,0,3,3,0.0,-3.0,-1.0,-2.0,0,3,-2.0,-1.0,0,0.0,1,2.0,0,0,0,0,0,,-3.0,-3.0
topOB-macRDRB-htfRDRB-sametf-SW,OB,RDRB,RDRB,sametf,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,,0.0,0.0
topFVG-macOB-htfOB-deep,FVG,OB,OB,deep,0,441,431,41.1,100.0,54.0,46.0,5,7,54.0,46.0,382,107.0,424,86.0,1,1,1,1,1,0.000,75.5,89.0
topFVG-macOB-htfOB-deep-SW,FVG,OB,OB,deep,1,219,214,42.5,59.0,34.0,25.0,7,7,23.0,36.0,179,31.0,219,48.0,1,1,1,1,1,0.000,58.5,43.5
topFVG-macOB-htfOB-sametf,FVG,OB,OB,sametf,0,56,53,39.6,10.0,18.0,-8.0,5,7,6.0,4.0,34,-1.0,36,3.0,1,0,1,1,0,,7.0,13.5
topFVG-macOB-htfOB-sametf-SW,FVG,OB,OB,sametf,1,1,1,100.0,2.0,0.0,2.0,1,1,0.0,2.0,1,-1.0,1,-1.0,0,0,0,0,0,,1.5,2.5
topFVG-macOB-htfRDRB-deep,FVG,OB,RDRB,deep,0,145,145,37.9,20.0,20.0,0.0,4,7,7.0,13.0,139,2.0,144,51.0,1,0,0,1,0,,12.5,17.0
topFVG-macOB-htfRDRB-deep-SW,FVG,OB,RDRB,deep,1,34,34,47.1,14.0,11.0,3.0,4,7,6.0,8.0,34,-4.0,38,16.0,1,1,0,1,0,,8.5,4.5
topFVG-macOB-htfRDRB-sametf,FVG,OB,RDRB,sametf,0,1,1,0.0,-1.0,-1.0,0.0,0,1,-1.0,0.0,0,0.0,2,1.0,0,0,0,0,0,,-1.0,-1.0
topFVG-macOB-htfRDRB-sametf-SW,FVG,OB,RDRB,sametf,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,,0.0,0.0
topFVG-macFVG-htfOB-deep,FVG,FVG,OB,deep,0,1050,1031,38.0,145.0,77.0,68.0,6,7,65.0,80.0,945,225.0,902,166.0,1,1,1,1,1,0.000,136.5,121.5
topFVG-macFVG-htfOB-deep-SW,FVG,FVG,OB,deep,1,513,499,39.3,89.0,36.0,53.0,6,7,26.0,63.0,476,94.0,444,75.0,1,1,1,1,1,0.000,76.0,78.5
topFVG-macFVG-htfOB-sametf,FVG,FVG,OB,sametf,0,126,119,38.7,19.0,16.0,3.0,4,7,11.0,8.0,128,4.0,104,13.0,1,1,0,1,0,,26.0,28.0
topFVG-macFVG-htfOB-sametf-SW,FVG,FVG,OB,sametf,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2,-2.0,1,-1.0,0,0,0,0,0,,0.0,0.0
topFVG-macFVG-htfRDRB-deep,FVG,FVG,RDRB,deep,0,534,533,38.3,79.0,16.0,63.0,6,7,23.0,56.0,541,104.0,479,217.0,1,1,1,1,1,0.003,94.5,52.5
topFVG-macFVG-htfRDRB-deep-SW,FVG,FVG,RDRB,deep,1,140,140,35.7,10.0,4.0,6.0,5,7,0.0,10.0,151,26.0,135,45.0,1,1,1,0,0,,17.5,17.5
topFVG-macFVG-htfRDRB-sametf,FVG,FVG,RDRB,sametf,0,6,6,16.7,-3.0,-2.0,-1.0,0,4,-2.0,-1.0,5,4.0,11,-5.0,0,0,0,0,0,,-3.5,-2.5
topFVG-macFVG-htfRDRB-sametf-SW,FVG,FVG,RDRB,sametf,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,,0.0,0.0
topFVG-maciFVG-htfOB-deep,FVG,iFVG,OB,deep,0,268,264,37.5,33.0,20.0,13.0,6,7,19.0,14.0,266,55.0,218,7.0,1,1,1,1,1,0.037,38.5,30.0
topFVG-maciFVG-htfOB-deep-SW,FVG,iFVG,OB,deep,1,127,125,40.8,28.0,11.0,17.0,6,7,12.0,16.0,142,26.0,122,4.0,1,1,1,1,1,0.040,27.5,29.0
topFVG-maciFVG-htfOB-sametf,FVG,iFVG,OB,sametf,0,36,33,39.4,6.0,6.0,0.0,5,7,7.0,-1.0,50,1.0,22,11.0,1,0,1,0,0,,12.0,5.5
topFVG-maciFVG-htfOB-sametf-SW,FVG,iFVG,OB,sametf,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,-1.0,1,-1.0,0,0,0,0,0,,0.0,0.0
topFVG-maciFVG-htfRDRB-deep,FVG,iFVG,RDRB,deep,0,158,158,41.8,40.0,-2.0,42.0,5,7,13.0,27.0,188,61.0,122,43.0,1,0,1,1,0,,29.5,32.0
topFVG-maciFVG-htfRDRB-deep-SW,FVG,iFVG,RDRB,deep,1,44,44,34.1,1.0,-1.0,2.0,3,7,4.0,-3.0,58,17.0,39,6.0,1,0,0,0,0,,1.0,1.5
topFVG-maciFVG-htfRDRB-sametf,FVG,iFVG,RDRB,sametf,0,2,2,50.0,1.0,2.0,-1.0,1,2,2.0,-1.0,3,0.0,6,0.0,0,0,0,0,0,,0.5,1.5
topFVG-maciFVG-htfRDRB-sametf-SW,FVG,iFVG,RDRB,sametf,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,,0.0,0.0
topFVG-macRDRB-htfOB-deep,FVG,RDRB,OB,deep,0,181,177,31.6,-9.0,-9.0,0.0,4,7,-24.0,15.0,162,36.0,207,57.0,1,0,0,0,0,,-7.0,-9.0
topFVG-macRDRB-htfOB-deep-SW,FVG,RDRB,OB,deep,1,95,92,32.6,-2.0,-4.0,2.0,2,7,-13.0,11.0,73,-4.0,90,0.0,0,0,0,0,0,,10.5,-11.5
topFVG-macRDRB-htfOB-sametf,FVG,RDRB,OB,sametf,0,14,13,46.2,5.0,4.0,1.0,3,5,2.0,3.0,8,1.0,13,-4.0,1,1,0,1,0,,2.0,4.5
topFVG-macRDRB-htfOB-sametf-SW,FVG,RDRB,OB,sametf,1,1,1,100.0,2.0,0.0,2.0,1,1,0.0,2.0,1,-1.0,0,0.0,0,0,0,0,0,,1.5,2.5
topFVG-macRDRB-htfRDRB-deep,FVG,RDRB,RDRB,deep,0,47,47,38.3,7.0,4.0,3.0,3,7,0.0,7.0,35,1.0,63,21.0,1,1,0,0,0,,8.0,2.0
topFVG-macRDRB-htfRDRB-deep-SW,FVG,RDRB,RDRB,deep,1,9,9,33.3,0.0,1.0,-1.0,3,6,2.0,-2.0,9,0.0,16,2.0,0,0,0,0,0,,1.0,-5.5
topFVG-macRDRB-htfRDRB-sametf,FVG,RDRB,RDRB,sametf,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,2.0,0,0,0,0,0,,0.0,0.0
topFVG-macRDRB-htfRDRB-sametf-SW,FVG,RDRB,RDRB,sametf,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,,0.0,0.0
