tf,dir,rdrb_formed_utc3,zone_low,zone_high
1h,SHORT,2022-01-01 15:00:00,47007.73,47075.11
2h,SHORT,2022-01-02 11:00:00,47300.0,47315.38
1h,SHORT,2022-01-03 08:00:00,46944.77,46950.0
2h,LONG,2022-01-03 17:00:00,47100.0,47127.51
1h,LONG,2022-01-05 08:00:00,46333.22,46350.65
1h,SHORT,2022-01-06 14:00:00,42960.0,42987.73
2h,SHORT,2022-01-11 17:00:00,41956.45,41971.37
2h,LONG,2022-01-12 17:00:00,42867.55,42874.01
1h,LONG,2022-01-14 10:00:00,42738.47,42776.73
1h,SHORT,2022-01-15 17:00:00,42973.28,43002.02
1h,LONG,2022-01-16 11:00:00,43089.0,43117.24
1h,SHORT,2022-01-16 15:00:00,43042.67,43059.99
1h,SHORT,2022-01-17 08:00:00,42807.95,42810.0
1h,SHORT,2022-01-21 17:00:00,38751.6,38848.35
1h,LONG,2022-01-23 13:00:00,35600.47,35738.61
1h,LONG,2022-01-24 20:00:00,33776.02,33803.13
2h,LONG,2022-01-25 23:00:00,36777.77,36920.01
2h,SHORT,2022-01-27 07:00:00,36243.32,36322.54
1h,SHORT,2022-01-27 22:00:00,36345.76,36510.0
1h,LONG,2022-01-28 20:00:00,36989.92,37000.01
1h,SHORT,2022-01-30 05:00:00,37976.29,38045.27
1h,LONG,2022-02-07 18:00:00,42754.56,42766.06
1h,LONG,2022-02-09 10:00:00,43488.57,43533.73
1h,SHORT,2022-02-11 22:00:00,43500.0,43501.56
1h,SHORT,2022-02-13 23:00:00,42181.63,42208.21
1h,LONG,2022-02-18 13:00:00,40745.0,40764.55
2h,SHORT,2022-02-20 09:00:00,39843.59,39874.06
2h,LONG,2022-02-21 07:00:00,38400.98,38800.57
1h,SHORT,2022-02-21 13:00:00,39110.03,39150.81
1h,LONG,2022-02-24 20:00:00,35699.53,35861.05
1h,LONG,2022-02-26 05:00:00,39491.0,39562.17
2h,LONG,2022-02-26 07:00:00,39242.42,39252.0
1h,SHORT,2022-02-26 13:00:00,38927.07,39007.24
1h,LONG,2022-02-27 11:00:00,38656.44,38742.6
1h,LONG,2022-03-03 02:00:00,43817.0,43870.0
1h,SHORT,2022-03-04 01:00:00,42139.59,42188.45
2h,LONG,2022-03-04 15:00:00,41449.94,41467.86
1h,SHORT,2022-03-08 10:00:00,38508.47,38526.21
2h,LONG,2022-03-12 07:00:00,38999.73,39044.28
2h,LONG,2022-03-15 21:00:00,38786.74,38926.15
1h,LONG,2022-03-19 00:00:00,41698.47,41699.46
2h,LONG,2022-03-19 21:00:00,41791.52,41802.02
1h,SHORT,2022-03-20 22:00:00,41237.0,41252.67
1h,LONG,2022-03-22 00:00:00,41072.69,41119.8
1h,LONG,2022-03-26 08:00:00,44355.14,44370.13
1h,SHORT,2022-03-26 16:00:00,44392.58,44419.24
1h,LONG,2022-03-27 20:00:00,44647.24,44740.0
1h,SHORT,2022-04-04 14:00:00,46048.36,46083.62
2h,SHORT,2022-04-09 01:00:00,42870.7,42888.8
1h,LONG,2022-04-10 04:00:00,42584.49,42591.0
1h,SHORT,2022-04-11 16:00:00,41246.61,41392.8
2h,SHORT,2022-04-11 21:00:00,40896.83,40968.11
1h,SHORT,2022-04-11 22:00:00,40520.45,40560.0
1h,SHORT,2022-04-14 15:00:00,41070.76,41165.0
2h,LONG,2022-04-15 09:00:00,40017.26,40062.61
1h,LONG,2022-04-17 10:00:00,40295.0,40311.66
2h,LONG,2022-04-18 19:00:00,39064.97,39122.78
2h,LONG,2022-04-21 13:00:00,41723.84,41741.1
1h,LONG,2022-04-23 03:00:00,39624.52,39663.12
1h,SHORT,2022-04-24 16:00:00,39660.0,39662.48
1h,SHORT,2022-04-25 10:00:00,39057.97,39086.37
2h,LONG,2022-04-28 15:00:00,39436.73,39599.96
1h,SHORT,2022-04-30 13:00:00,38644.03,38646.69
1h,SHORT,2022-05-07 18:00:00,35995.99,35999.99
1h,SHORT,2022-05-10 14:00:00,31575.7,31605.69
1h,LONG,2022-05-12 15:00:00,28323.9,28325.0
1h,SHORT,2022-05-15 08:00:00,29799.0,29818.85
1h,SHORT,2022-05-15 19:00:00,30178.41,30178.55
2h,LONG,2022-05-17 03:00:00,29819.72,29827.92
1h,SHORT,2022-05-29 23:00:00,29199.57,29215.97
1h,LONG,2022-05-30 10:00:00,30400.0,30421.19
2h,LONG,2022-06-05 21:00:00,29742.13,29761.0
1h,LONG,2022-06-11 01:00:00,29142.06,29154.81
2h,SHORT,2022-06-12 07:00:00,28346.72,28378.37
1h,SHORT,2022-06-13 19:00:00,23507.48,23633.66
1h,LONG,2022-06-14 10:00:00,22300.0,22323.78
1h,LONG,2022-06-17 06:00:00,20492.52,20543.09
1h,SHORT,2022-06-18 19:00:00,19123.97,19125.01
2h,SHORT,2022-06-18 21:00:00,19101.28,19149.27
1h,LONG,2022-06-20 01:00:00,20263.29,20287.0
1h,SHORT,2022-06-21 16:00:00,21163.24,21166.94
1h,SHORT,2022-06-22 06:00:00,20526.67,20551.0
2h,SHORT,2022-06-22 07:00:00,20567.6,20666.0
1h,LONG,2022-06-23 11:00:00,20394.99,20424.98
2h,LONG,2022-06-23 15:00:00,20474.36,20591.53
1h,LONG,2022-06-23 23:00:00,20366.98,20390.82
2h,LONG,2022-06-24 17:00:00,21000.59,21086.01
1h,SHORT,2022-06-30 04:00:00,20179.08,20196.8
1h,SHORT,2022-06-30 10:00:00,20028.47,20047.73
1h,LONG,2022-07-03 21:00:00,19100.0,19114.35
2h,SHORT,2022-07-04 09:00:00,19150.0,19213.58
1h,SHORT,2022-07-07 10:00:00,20369.29,20393.75
2h,SHORT,2022-07-08 15:00:00,21732.77,21750.0
1h,SHORT,2022-07-08 17:00:00,21483.73,21491.02
1h,SHORT,2022-07-10 07:00:00,21347.81,21366.7
1h,SHORT,2022-07-12 05:00:00,19956.16,19961.8
1h,LONG,2022-07-13 07:00:00,19450.02,19460.0
1h,SHORT,2022-07-14 11:00:00,20052.06,20057.31
1h,SHORT,2022-07-15 02:00:00,20565.87,20587.43
2h,SHORT,2022-07-16 07:00:00,20769.01,20830.02
2h,SHORT,2022-07-16 11:00:00,20620.0,20630.0
1h,SHORT,2022-07-17 22:00:00,21064.53,21123.4
2h,SHORT,2022-07-17 23:00:00,21082.11,21113.73
1h,SHORT,2022-07-19 08:00:00,21955.33,22000.01
1h,LONG,2022-07-20 19:00:00,23935.0,24040.22
1h,SHORT,2022-07-21 16:00:00,22850.0,22855.29
1h,LONG,2022-07-22 16:00:00,23524.52,23558.59
1h,SHORT,2022-07-22 20:00:00,23344.62,23430.0
2h,SHORT,2022-07-23 15:00:00,22717.31,22727.54
1h,SHORT,2022-07-23 15:00:00,22540.0,22561.72
2h,LONG,2022-07-24 05:00:00,22332.0,22372.54
1h,LONG,2022-07-27 04:00:00,21119.99,21133.42
2h,LONG,2022-07-28 09:00:00,22997.17,23032.0
1h,LONG,2022-08-05 03:00:00,22555.0,22570.0
2h,LONG,2022-08-13 01:00:00,24012.21,24048.29
1h,SHORT,2022-08-17 03:00:00,23900.0,23900.17
2h,LONG,2022-08-21 07:00:00,21153.99,21161.62
1h,LONG,2022-08-23 23:00:00,21483.71,21486.75
2h,SHORT,2022-08-25 21:00:00,21599.9,21611.22
1h,LONG,2022-08-27 12:00:00,20166.09,20186.41
2h,SHORT,2022-08-27 21:00:00,20100.0,20145.0
1h,SHORT,2022-08-29 23:00:00,20201.23,20243.0
1h,SHORT,2022-08-30 21:00:00,19699.29,19715.95
1h,SHORT,2022-08-31 11:00:00,20309.61,20333.47
1h,LONG,2022-09-01 15:00:00,19939.97,19975.17
1h,SHORT,2022-09-04 00:00:00,19749.91,19753.24
2h,LONG,2022-09-05 21:00:00,19787.68,19790.78
1h,LONG,2022-09-07 22:00:00,18936.17,18960.0
2h,LONG,2022-09-07 23:00:00,18931.8,18960.0
2h,LONG,2022-09-11 01:00:00,21296.1,21361.64
1h,LONG,2022-09-16 15:00:00,19759.27,19774.55
1h,LONG,2022-09-18 03:00:00,20088.71,20091.2
2h,SHORT,2022-09-20 09:00:00,19433.37,19459.54
1h,SHORT,2022-09-23 15:00:00,18994.9,19026.0
2h,SHORT,2022-09-25 19:00:00,19010.06,19027.8
1h,LONG,2022-09-27 04:00:00,19146.94,19187.63
1h,SHORT,2022-09-30 15:00:00,19519.0,19524.82
1h,LONG,2022-10-03 19:00:00,19281.0,19321.6
2h,LONG,2022-10-03 23:00:00,19340.0,19431.06
2h,SHORT,2022-10-06 13:00:00,20254.2,20275.86
2h,SHORT,2022-10-09 03:00:00,19444.47,19467.65
2h,SHORT,2022-10-10 15:00:00,19376.89,19384.31
1h,LONG,2022-10-16 05:00:00,19091.42,19106.71
1h,SHORT,2022-10-17 06:00:00,19212.22,19226.22
1h,SHORT,2022-10-19 11:00:00,19243.59,19252.8
1h,LONG,2022-10-21 20:00:00,19083.14,19103.04
1h,SHORT,2022-10-24 09:00:00,19355.7,19390.88
1h,SHORT,2022-10-24 19:00:00,19312.51,19317.86
1h,SHORT,2022-11-01 18:00:00,20483.62,20489.92
1h,LONG,2022-11-02 05:00:00,20486.0,20500.03
1h,LONG,2022-11-03 19:00:00,20178.95,20208.56
1h,LONG,2022-11-04 19:00:00,20774.22,20831.64
1h,SHORT,2022-11-07 00:00:00,21204.73,21218.56
2h,SHORT,2022-11-08 19:00:00,19650.0,19663.03
2h,SHORT,2022-11-10 01:00:00,16900.0,16918.83
1h,SHORT,2022-11-12 09:00:00,16787.56,16857.13
2h,SHORT,2022-11-15 01:00:00,16419.99,16425.67
1h,SHORT,2022-11-15 10:00:00,16758.85,16764.11
1h,SHORT,2022-11-16 18:00:00,16580.26,16650.29
1h,SHORT,2022-11-19 07:00:00,16652.96,16662.26
1h,SHORT,2022-11-22 11:00:00,15781.34,15800.03
1h,SHORT,2022-11-24 12:00:00,16642.18,16645.08
1h,LONG,2022-11-25 16:00:00,16480.41,16500.25
1h,LONG,2022-11-26 05:00:00,16539.1,16573.52
1h,LONG,2022-11-30 01:00:00,16438.99,16453.12
1h,LONG,2022-12-05 05:00:00,17133.4,17196.19
2h,LONG,2022-12-05 07:00:00,17127.88,17185.78
1h,SHORT,2022-12-06 08:00:00,17015.59,17025.46
1h,SHORT,2022-12-09 18:00:00,17173.94,17209.29
1h,SHORT,2022-12-12 01:00:00,17148.94,17168.0
1h,SHORT,2022-12-12 07:00:00,16921.12,16929.65
1h,LONG,2022-12-13 09:00:00,17158.99,17161.32
1h,LONG,2022-12-14 12:00:00,17790.67,17793.35
1h,SHORT,2022-12-15 00:00:00,17947.33,18074.94
1h,LONG,2022-12-18 03:00:00,16709.98,16720.0
2h,SHORT,2022-12-18 15:00:00,16725.82,16735.0
1h,SHORT,2022-12-18 19:00:00,16700.92,16701.28
2h,LONG,2022-12-21 15:00:00,16847.91,16851.43
1h,LONG,2022-12-24 07:00:00,16816.62,16823.3
1h,SHORT,2022-12-26 10:00:00,16868.63,16872.44
2h,SHORT,2022-12-31 09:00:00,16566.37,16568.0
1h,LONG,2022-12-31 18:00:00,16580.41,16580.7
2h,SHORT,2023-01-01 01:00:00,16574.97,16580.7
1h,SHORT,2023-01-06 11:00:00,16802.87,16805.31
2h,LONG,2023-01-06 21:00:00,16802.98,16805.04
1h,LONG,2023-01-07 19:00:00,16920.07,16934.35
1h,LONG,2023-01-11 01:00:00,17443.95,17448.75
1h,LONG,2023-01-11 11:00:00,17425.42,17426.07
1h,LONG,2023-01-13 14:00:00,18857.87,18858.98
1h,LONG,2023-01-15 01:00:00,20800.0,20827.31
1h,SHORT,2023-01-27 05:00:00,22968.73,22989.36
2h,LONG,2023-01-27 23:00:00,23022.0,23131.3
1h,SHORT,2023-01-28 12:00:00,23016.79,23021.74
2h,LONG,2023-01-30 01:00:00,23596.88,23600.0
1h,SHORT,2023-02-01 13:00:00,23021.87,23048.25
1h,SHORT,2023-02-04 06:00:00,23399.0,23402.86
1h,SHORT,2023-02-04 08:00:00,23361.33,23365.0
2h,LONG,2023-02-06 21:00:00,22895.0,22921.25
1h,LONG,2023-02-07 10:00:00,22897.67,22920.32
2h,LONG,2023-02-07 15:00:00,22949.74,22965.01
1h,SHORT,2023-02-11 23:00:00,21673.68,21679.19
1h,LONG,2023-02-12 14:00:00,21813.16,21842.74
1h,SHORT,2023-02-16 18:00:00,24497.96,24509.07
1h,SHORT,2023-02-17 10:00:00,23751.09,23757.14
2h,LONG,2023-02-19 07:00:00,24639.4,24660.05
1h,SHORT,2023-02-22 19:00:00,24005.11,24086.19
2h,SHORT,2023-02-23 15:00:00,24314.34,24346.32
1h,SHORT,2023-02-26 10:00:00,23171.0,23184.1
2h,LONG,2023-02-28 21:00:00,23421.98,23426.47
2h,LONG,2023-03-03 01:00:00,23383.83,23386.44
2h,LONG,2023-03-05 19:00:00,22399.45,22417.01
1h,LONG,2023-03-06 18:00:00,22402.63,22403.2
2h,LONG,2023-03-07 07:00:00,22439.99,22445.22
1h,SHORT,2023-03-07 11:00:00,22453.9,22453.98
2h,LONG,2023-03-11 23:00:00,20143.93,20145.01
1h,LONG,2023-03-16 15:00:00,24660.49,24724.57
1h,SHORT,2023-03-19 02:00:00,27240.0,27270.01
1h,LONG,2023-03-22 08:00:00,28097.04,28122.12
1h,SHORT,2023-03-24 13:00:00,28190.35,28234.0
1h,LONG,2023-03-27 14:00:00,27850.0,27864.89
1h,SHORT,2023-03-27 17:00:00,27844.69,27864.89
1h,SHORT,2023-03-28 14:00:00,26932.97,26934.0
1h,SHORT,2023-03-31 10:00:00,28103.16,28112.0
2h,SHORT,2023-04-03 21:00:00,28129.99,28215.59
2h,LONG,2023-04-06 21:00:00,27954.42,28014.99
1h,LONG,2023-04-11 05:00:00,29747.01,29754.49
2h,LONG,2023-04-13 21:00:00,30244.09,30262.4
1h,SHORT,2023-04-14 17:00:00,30749.58,30758.89
1h,SHORT,2023-04-21 00:00:00,28321.69,28351.86
2h,SHORT,2023-04-21 01:00:00,28321.69,28440.66
1h,SHORT,2023-04-23 19:00:00,27576.92,27589.44
1h,SHORT,2023-04-30 05:00:00,29168.46,29181.15
1h,SHORT,2023-05-01 20:00:00,28388.16,28442.58
1h,LONG,2023-05-07 10:00:00,28845.63,28851.78
1h,LONG,2023-05-09 16:00:00,27598.47,27644.99
1h,SHORT,2023-05-11 18:00:00,27343.37,27375.02
2h,SHORT,2023-05-11 23:00:00,27055.0,27099.98
1h,SHORT,2023-05-13 10:00:00,26766.84,26772.58
1h,SHORT,2023-05-16 03:00:00,27317.79,27331.66
1h,SHORT,2023-05-16 06:00:00,27089.0,27126.73
1h,LONG,2023-05-28 22:00:00,27280.0,27314.49
1h,LONG,2023-06-03 11:00:00,27163.77,27165.23
2h,SHORT,2023-06-04 01:00:00,27124.68,27126.85
1h,SHORT,2023-06-07 19:00:00,26679.03,26743.02
2h,LONG,2023-06-09 15:00:00,26533.3,26560.0
1h,LONG,2023-06-13 07:00:00,26033.91,26043.04
1h,LONG,2023-06-20 04:00:00,26770.19,26798.68
2h,LONG,2023-06-21 05:00:00,28140.0,28257.99
1h,LONG,2023-06-21 18:00:00,29040.37,29073.7
2h,LONG,2023-06-21 19:00:00,28962.88,29073.7
2h,LONG,2023-06-22 09:00:00,30195.77,30198.0
1h,SHORT,2023-06-24 12:00:00,30665.43,30676.13
1h,SHORT,2023-06-25 12:00:00,30761.7,30829.28
2h,SHORT,2023-07-05 01:00:00,30822.85,30886.0
1h,SHORT,2023-07-05 17:00:00,30380.0,30392.06
2h,LONG,2023-07-06 11:00:00,30531.25,30560.0
1h,SHORT,2023-07-08 11:00:00,30220.05,30224.3
2h,SHORT,2023-07-17 15:00:00,30261.9,30264.27
1h,SHORT,2023-07-18 11:00:00,30040.39,30040.78
1h,SHORT,2023-07-18 16:00:00,29918.2,29950.01
1h,SHORT,2023-07-22 17:00:00,29867.64,29870.0
2h,LONG,2023-07-23 11:00:00,29875.0,29885.01
1h,SHORT,2023-07-24 19:00:00,29140.0,29164.0
1h,LONG,2023-07-25 13:00:00,29147.66,29162.5
2h,SHORT,2023-07-28 11:00:00,29206.11,29209.7
1h,SHORT,2023-07-29 12:00:00,29330.55,29345.01
2h,LONG,2023-08-03 21:00:00,29197.78,29208.3
2h,SHORT,2023-08-06 19:00:00,29061.81,29074.0
1h,SHORT,2023-08-09 03:00:00,29821.99,29841.8
2h,SHORT,2023-08-17 15:00:00,28610.07,28612.54
1h,SHORT,2023-08-17 18:00:00,28460.01,28483.89
2h,SHORT,2023-08-17 19:00:00,28500.6,28517.45
1h,SHORT,2023-08-18 17:00:00,26384.74,26388.0
1h,SHORT,2023-08-21 05:00:00,26168.0,26176.85
1h,LONG,2023-08-21 18:00:00,26044.27,26058.0
2h,LONG,2023-08-26 03:00:00,26030.9,26034.81
1h,LONG,2023-08-27 11:00:00,26038.27,26043.61
1h,LONG,2023-08-27 13:00:00,26050.0,26050.73
1h,SHORT,2023-08-29 11:00:00,26049.23,26051.0
2h,SHORT,2023-08-30 09:00:00,27476.03,27532.79
1h,SHORT,2023-08-31 05:00:00,27240.69,27241.0
1h,SHORT,2023-08-31 14:00:00,27226.18,27232.88
1h,SHORT,2023-09-01 10:00:00,26042.9,26043.63
1h,SHORT,2023-09-01 19:00:00,25935.7,25990.61
2h,SHORT,2023-09-01 21:00:00,25964.17,25981.79
1h,SHORT,2023-09-07 13:00:00,25760.61,25761.86
2h,LONG,2023-09-07 21:00:00,25757.43,25773.52
1h,LONG,2023-09-10 02:00:00,25878.35,25881.0
1h,SHORT,2023-09-10 15:00:00,25824.4,25826.33
2h,LONG,2023-09-13 15:00:00,25949.19,26094.53
1h,LONG,2023-09-18 12:00:00,26680.0,26684.02
1h,SHORT,2023-09-21 00:00:00,27098.73,27155.64
1h,SHORT,2023-09-21 12:00:00,27017.0,27032.55
1h,SHORT,2023-09-21 18:00:00,26599.0,26618.9
2h,SHORT,2023-09-21 19:00:00,26659.12,26689.84
1h,SHORT,2023-09-23 07:00:00,26561.58,26570.31
1h,LONG,2023-09-24 06:00:00,26575.97,26577.56
1h,LONG,2023-09-25 18:00:00,26110.37,26116.93
2h,SHORT,2023-09-26 19:00:00,26214.99,26226.54
1h,LONG,2023-09-27 04:00:00,26192.71,26202.96
1h,LONG,2023-09-28 03:00:00,26294.0,26297.61
1h,SHORT,2023-10-01 22:00:00,27100.01,27107.01
2h,SHORT,2023-10-01 23:00:00,27107.77,27126.28
1h,SHORT,2023-10-03 19:00:00,27420.13,27420.55
1h,SHORT,2023-10-05 07:00:00,27709.53,27722.44
1h,LONG,2023-10-05 14:00:00,27660.76,27661.13
1h,LONG,2023-10-06 14:00:00,27651.0,27664.8
1h,SHORT,2023-10-07 23:00:00,27920.0,27930.01
1h,SHORT,2023-10-08 15:00:00,27852.07,27867.43
1h,LONG,2023-10-08 18:00:00,27852.07,27871.17
2h,LONG,2023-10-13 07:00:00,26764.94,26768.7
1h,LONG,2023-10-16 06:00:00,27155.0,27179.9
1h,LONG,2023-10-22 22:00:00,29876.75,29883.6
2h,LONG,2023-10-25 19:00:00,34330.27,34337.29
2h,SHORT,2023-11-03 07:00:00,34711.73,34822.0
2h,LONG,2023-11-04 05:00:00,34604.68,34632.47
1h,SHORT,2023-11-06 06:00:00,34950.0,34971.4
1h,SHORT,2023-11-07 05:00:00,34960.0,35019.99
2h,LONG,2023-11-07 23:00:00,34780.14,34839.19
1h,LONG,2023-11-10 21:00:00,37150.0,37153.5
1h,SHORT,2023-11-13 16:00:00,36945.18,36962.07
2h,SHORT,2023-11-14 03:00:00,36605.47,36622.57
1h,SHORT,2023-11-14 16:00:00,36398.73,36475.1
1h,SHORT,2023-11-16 20:00:00,36642.31,36680.0
1h,SHORT,2023-11-20 08:00:00,37215.23,37222.62
1h,LONG,2023-11-20 19:00:00,37158.41,37219.53
1h,LONG,2023-11-23 23:00:00,37170.98,37181.04
2h,SHORT,2023-11-26 07:00:00,37749.99,37763.84
1h,SHORT,2023-11-30 12:00:00,37814.48,37853.09
1h,SHORT,2023-12-02 12:00:00,38738.93,38750.0
2h,LONG,2023-12-03 19:00:00,39485.84,39490.01
2h,SHORT,2023-12-15 09:00:00,42868.59,42918.25
1h,SHORT,2023-12-17 00:00:00,42412.37,42462.31
2h,SHORT,2023-12-17 07:00:00,42142.89,42241.1
1h,LONG,2023-12-25 08:00:00,43085.61,43101.53
1h,SHORT,2023-12-26 22:00:00,42180.1,42250.0
1h,SHORT,2023-12-27 07:00:00,42331.1,42342.59
1h,LONG,2023-12-29 16:00:00,42696.45,42750.01
1h,LONG,2023-12-30 10:00:00,42011.1,42035.82
2h,LONG,2024-01-04 09:00:00,42941.1,42955.5
1h,LONG,2024-01-04 16:00:00,43084.38,43097.06
1h,SHORT,2024-01-05 06:00:00,43972.86,44050.0
2h,LONG,2024-01-06 03:00:00,43627.57,43764.42
1h,LONG,2024-01-06 04:00:00,43971.1,43975.0
1h,LONG,2024-01-08 00:00:00,44110.15,44120.0
1h,LONG,2024-01-15 07:00:00,42353.94,42389.27
2h,LONG,2024-01-16 21:00:00,42971.1,43011.1
1h,SHORT,2024-01-17 08:00:00,42921.1,42960.64
1h,LONG,2024-01-18 19:00:00,42547.39,42611.1
1h,SHORT,2024-01-21 10:00:00,41654.99,41661.74
1h,LONG,2024-01-21 14:00:00,41669.94,41709.99
1h,SHORT,2024-01-24 08:00:00,39747.11,39757.91
1h,SHORT,2024-02-03 11:00:00,43133.96,43153.68
2h,SHORT,2024-02-03 13:00:00,43123.43,43142.0
1h,SHORT,2024-02-04 04:00:00,43017.44,43027.18
2h,LONG,2024-02-06 09:00:00,42722.3,42753.99
2h,LONG,2024-02-08 19:00:00,44788.01,44868.01
1h,LONG,2024-02-09 15:00:00,46675.86,46677.75
2h,SHORT,2024-02-10 13:00:00,47274.0,47275.06
1h,LONG,2024-02-13 10:00:00,49959.24,49962.14
2h,SHORT,2024-02-13 19:00:00,49651.3,49972.0
1h,LONG,2024-02-14 11:00:00,49584.55,49627.52
2h,LONG,2024-02-15 07:00:00,51866.01,51866.23
1h,SHORT,2024-02-16 01:00:00,51807.65,51831.34
1h,LONG,2024-02-16 07:00:00,52005.5,52100.0
2h,LONG,2024-02-16 09:00:00,51973.48,52009.63
1h,SHORT,2024-02-18 06:00:00,51554.39,51592.05
1h,SHORT,2024-02-18 17:00:00,51694.85,51784.5
2h,LONG,2024-02-19 05:00:00,51872.85,51904.83
1h,SHORT,2024-02-21 06:00:00,52160.0,52162.77
1h,LONG,2024-02-22 11:00:00,51640.01,51661.22
2h,LONG,2024-02-22 13:00:00,51658.54,51672.42
2h,LONG,2024-02-27 15:00:00,56204.79,56321.1
2h,LONG,2024-03-05 05:00:00,67450.0,67767.76
1h,LONG,2024-03-09 17:00:00,68307.1,68319.99
