date,symbol,direction,vic_level,signal_time,entry_time,fill_delay_min,entry_price,sl,tp,fractal_time,fractal_offset_k,outcome,exit_time,exit_price,mfe_pct,mae_pct,hit_type
2023-05-02,BTCUSDT,SHORT,28677.1,2023-05-02T20:00:00+00:00,2023-05-02T20:35:00+00:00,35.0,28730.856,28879.88,28581.832,2023-05-02T19:00:00+00:00,2,win,2023-05-03T00:12:00+00:00,28581.832,0.5859,0.2944,tp
2023-05-06,BTCUSDT,LONG,28965.32,2023-05-06T17:30:00+00:00,2023-05-06T21:07:00+00:00,217.0,28730.164,28535.26,28925.068000000003,2023-05-06T16:00:00+00:00,4,win,2023-05-07T00:49:00+00:00,28925.068000000003,0.693,0.3069,tp
2023-05-09,BTCUSDT,LONG,27454.5,2023-05-09T07:30:00+00:00,2023-05-09T07:45:00+00:00,15.0,27575.096000000005,27437.32,27712.87200000001,2023-05-09T06:30:00+00:00,2,win,2023-05-09T11:53:00+00:00,27712.87200000001,0.5581,0.2081,tp
2023-05-11,BTCUSDT,LONG,27157.13,2023-05-11T18:45:00+00:00,2023-05-11T19:34:00+00:00,49.0,26904.996,26742.9,27067.091999999997,2023-05-11T17:45:00+00:00,2,loss,2023-05-11T19:45:00+00:00,26742.9,0.0052,0.7543,sl
2023-05-12,BTCUSDT,LONG,26891.29,2023-05-12T10:00:00+00:00,2023-05-12T10:27:00+00:00,27.0,26364.690000000002,26234.79,26494.590000000004,2023-05-12T08:30:00+00:00,4,win,2023-05-12T13:34:00+00:00,26494.590000000004,0.5054,0.1619,tp
2023-05-17,BTCUSDT,LONG,26897.64,2023-05-17T09:30:00+00:00,2023-05-17T10:10:00+00:00,40.0,26848.296000000002,26760.0,26936.592000000004,2023-05-17T07:45:00+00:00,5,loss,2023-05-17T11:16:00+00:00,26760.0,0.2458,0.3598,sl
2023-05-18,BTCUSDT,LONG,26845.14,2023-05-18T19:45:00+00:00,2023-05-18T20:11:00+00:00,26.0,26718.846,26361.2,27076.492000000002,2023-05-18T17:45:00+00:00,6,win,2023-05-19T15:20:00+00:00,27076.492000000002,1.5725,0.1035,tp
2023-05-25,BTCUSDT,SHORT,26442.86,2023-05-25T13:45:00+00:00,2023-05-25T14:00:00+00:00,15.0,26356.302000000003,26499.99,26212.614000000005,2023-05-25T12:00:00+00:00,5,win,2023-05-25T15:34:00+00:00,26212.614000000005,0.5513,0.2677,tp
2023-06-02,BTCUSDT,LONG,26719.26,2023-06-02T01:30:00+00:00,2023-06-02T01:57:00+00:00,27.0,26799.394,26505.0,27093.788,2023-06-02T00:30:00+00:00,2,win,2023-06-02T04:41:00+00:00,27093.788,1.1963,0.0277,tp
2023-06-03,BTCUSDT,LONG,27149.98,2023-06-03T04:45:00+00:00,2023-06-03T05:50:00+00:00,65.0,27138.046000000002,27131.89,27144.202000000005,2023-06-03T03:15:00+00:00,4,win,2023-06-03T05:52:00+00:00,27144.202000000005,0.036,0.0026,tp
2023-06-04,BTCUSDT,SHORT,27305.26,2023-06-04T23:30:00+00:00,2023-06-06T19:53:00+00:00,2663.0,27191.130000000005,27455.02,26927.24000000001,2023-06-04T22:15:00+00:00,3,win,2023-06-06T20:23:00+00:00,26927.24000000001,1.1553,0.1135,tp
2023-06-06,BTCUSDT,SHORT,25925.65,2023-06-06T20:30:00+00:00,2023-06-06T21:05:00+00:00,35.0,27022.696000000004,26782.52,27262.872000000007,2023-06-06T18:30:00+00:00,6,loss,2023-06-06T21:05:00+00:00,26782.52,0.1032,0.0053,sl
2023-06-07,BTCUSDT,LONG,26700.43,2023-06-07T11:15:00+00:00,2023-06-07T14:15:00+00:00,180.0,26631.190000000002,26352.0,26910.380000000005,2023-06-07T10:00:00+00:00,3,loss,2023-06-07T14:53:00+00:00,26352.0,0.3066,1.0897,sl
2023-06-09,BTCUSDT,SHORT,26582.19,2023-06-09T02:30:00+00:00,2023-06-09T02:56:00+00:00,26.0,26435.93,26596.58,26275.28,2023-06-09T01:30:00+00:00,2,loss,2023-06-09T08:19:00+00:00,26596.58,0.0438,0.6383,sl
2023-06-15,BTCUSDT,LONG,24934.21,2023-06-15T08:30:00+00:00,2023-06-15T08:45:00+00:00,15.0,25025.864,24872.35,25179.378000000004,2023-06-15T07:00:00+00:00,4,loss,2023-06-15T11:17:00+00:00,24872.35,0.0009,0.9025,sl
2023-06-16,BTCUSDT,LONG,25494.89,2023-06-16T01:45:00+00:00,2023-06-16T02:06:00+00:00,21.0,25507.962000000003,25440.39,25575.534000000007,2023-06-16T00:15:00+00:00,4,win,2023-06-16T03:42:00+00:00,25575.534000000007,0.3102,0.0942,tp
2023-06-19,BTCUSDT,SHORT,26414.56,2023-06-19T03:30:00+00:00,2023-06-19T04:10:00+00:00,40.0,26418.136,26469.58,26366.691999999995,2023-06-19T02:00:00+00:00,4,loss,2023-06-19T06:01:00+00:00,26469.58,0.186,0.2115,sl
2023-06-30,BTCUSDT,LONG,30357.98,2023-06-30T02:15:00+00:00,2023-06-30T13:36:00+00:00,681.0,30459.308,30347.17,30571.446000000004,2023-06-30T01:00:00+00:00,3,win,2023-06-30T13:36:00+00:00,30571.446000000004,1.2267,0.0309,tp
2023-07-02,BTCUSDT,LONG,30422.0,2023-07-02T16:15:00+00:00,2023-07-02T17:23:00+00:00,68.0,30527.812,30155.0,30900.624000000003,2023-07-02T15:15:00+00:00,2,win,2023-07-03T15:04:00+00:00,30900.624000000003,1.3087,0.5279,tp
2023-07-04,BTCUSDT,LONG,31066.66,2023-07-04T16:30:00+00:00,2023-07-04T16:45:00+00:00,15.0,31010.706,30886.0,31135.411999999997,2023-07-04T15:30:00+00:00,2,loss,2023-07-04T16:52:00+00:00,30886.0,0.0331,0.6569,sl
2023-07-10,BTCUSDT,SHORT,30321.52,2023-07-10T17:45:00+00:00,2023-07-10T18:23:00+00:00,38.0,30302.754000000004,30379.29,30226.218000000008,2023-07-10T16:45:00+00:00,2,loss,2023-07-10T18:32:00+00:00,30379.29,0.0091,0.2799,sl
2023-07-12,BTCUSDT,LONG,30547.02,2023-07-12T02:30:00+00:00,2023-07-12T04:11:00+00:00,101.0,30566.652000000002,30497.95,30635.354000000003,2023-07-12T01:30:00+00:00,2,win,2023-07-12T04:59:00+00:00,30635.354000000003,0.2248,0.0037,tp
2023-07-13,BTCUSDT,SHORT,30783.66,2023-07-13T20:45:00+00:00,2023-07-14T00:38:00+00:00,233.0,31507.056000000004,31804.2,31209.912000000008,2023-07-13T19:30:00+00:00,3,win,2023-07-14T07:34:00+00:00,31209.912000000008,0.9617,0.3902,tp
2023-07-14,BTCUSDT,LONG,30917.48,2023-07-14T20:45:00+00:00,2023-07-16T02:21:00+00:00,1776.0,30141.324000000004,29900.0,30382.64800000001,2023-07-14T19:00:00+00:00,5,win,2023-07-16T14:25:00+00:00,30382.64800000001,0.9958,0.2556,tp
2023-07-20,BTCUSDT,SHORT,29994.3,2023-07-20T03:30:00+00:00,2023-07-20T03:55:00+00:00,25.0,29948.126000000004,30047.95,29848.302000000007,2023-07-20T02:00:00+00:00,4,loss,2023-07-20T05:15:00+00:00,30047.95,0.0709,0.3849,sl
2023-07-21,BTCUSDT,LONG,29782.19,2023-07-21T01:30:00+00:00,2023-07-21T01:46:00+00:00,16.0,29825.552,29726.34,29924.764,2023-07-21T00:30:00+00:00,2,win,2023-07-21T02:11:00+00:00,29924.764,0.3334,0.0052,tp
2023-07-30,BTCUSDT,SHORT,29375.99,2023-07-30T16:00:00+00:00,2023-07-31T00:44:00+00:00,524.0,29405.728000000003,29449.0,29362.456000000006,2023-07-30T15:00:00+00:00,2,loss,2023-07-31T00:44:00+00:00,29449.0,0.1487,0.3206,sl
2023-08-03,BTCUSDT,LONG,29025.91,2023-08-03T10:00:00+00:00,2023-08-03T10:23:00+00:00,23.0,29150.788,28968.0,29333.576,2023-08-03T08:15:00+00:00,5,win,2023-08-03T14:48:00+00:00,29333.576,0.7645,0.2482,tp
2023-08-11,BTCUSDT,SHORT,29537.68,2023-08-11T15:15:00+00:00,2023-08-11T16:15:00+00:00,60.0,29429.278,29564.52,29294.035999999996,2023-08-11T14:00:00+00:00,3,win,2023-08-11T16:44:00+00:00,29294.035999999996,0.6009,0.006,tp
2023-08-13,BTCUSDT,LONG,29392.99,2023-08-13T06:15:00+00:00,2023-08-13T11:40:00+00:00,325.0,29391.0,29363.0,29419.0,2023-08-13T05:15:00+00:00,2,loss,2023-08-13T15:26:00+00:00,29363.0,0.0094,0.0953,sl
2023-08-14,BTCUSDT,SHORT,29361.61,2023-08-14T07:00:00+00:00,2023-08-14T07:36:00+00:00,36.0,29419.860000000004,29469.63,29370.090000000007,2023-08-14T06:00:00+00:00,2,loss,2023-08-14T08:09:00+00:00,29469.63,0.058,0.1758,sl
2023-08-18,BTCUSDT,LONG,26253.92,2023-08-18T05:15:00+00:00,2023-08-18T12:12:00+00:00,417.0,26342.24,26157.71,26526.770000000004,2023-08-18T04:15:00+00:00,2,loss,2023-08-18T14:17:00+00:00,26157.71,0.285,0.8061,sl
2023-08-20,BTCUSDT,SHORT,26216.01,2023-08-20T14:00:00+00:00,2023-08-20T17:47:00+00:00,227.0,26153.944000000003,26217.52,26090.368000000006,2023-08-20T13:00:00+00:00,2,loss,2023-08-20T20:39:00+00:00,26217.52,0.1837,0.4437,sl
2023-08-22,BTCUSDT,LONG,25866.36,2023-08-22T18:45:00+00:00,2023-08-22T19:28:00+00:00,43.0,25878.638000000003,25726.29,26030.986000000004,2023-08-22T17:30:00+00:00,3,loss,2023-08-22T21:26:00+00:00,25726.29,0.0972,1.4631,sl
2023-08-24,BTCUSDT,LONG,26340.42,2023-08-24T19:15:00+00:00,2023-08-24T19:46:00+00:00,31.0,26045.402000000002,25976.74,26114.064000000002,2023-08-24T18:15:00+00:00,2,loss,2023-08-24T20:51:00+00:00,25976.74,0.235,0.3702,sl
2023-09-03,BTCUSDT,SHORT,25916.64,2023-09-03T08:15:00+00:00,2023-09-03T09:20:00+00:00,65.0,25916.082000000002,25946.59,25885.574000000004,2023-09-03T06:30:00+00:00,5,loss,2023-09-03T12:00:00+00:00,25946.59,0.1085,0.1223,sl
2023-09-08,BTCUSDT,LONG,26221.88,2023-09-08T03:45:00+00:00,2023-09-08T05:53:00+00:00,128.0,26250.678,26198.91,26302.446,2023-09-08T02:30:00+00:00,3,loss,2023-09-08T06:34:00+00:00,26198.91,0.0581,0.2064,sl
2023-09-12,BTCUSDT,SHORT,25375.32,2023-09-12T05:00:00+00:00,2023-09-12T05:49:00+00:00,49.0,25773.752,25990.0,25557.504,2023-09-12T04:00:00+00:00,2,loss,2023-09-12T10:21:00+00:00,25990.0,0.1959,1.7284,sl
2023-09-13,BTCUSDT,SHORT,25869.15,2023-09-13T05:30:00+00:00,2023-09-13T05:48:00+00:00,18.0,25890.876000000004,25949.19,25832.56200000001,2023-09-13T04:30:00+00:00,2,loss,2023-09-13T06:42:00+00:00,25949.19,0.0933,0.2403,sl
2023-09-16,BTCUSDT,SHORT,26712.43,2023-09-16T04:00:00+00:00,2023-09-18T02:27:00+00:00,2787.0,26626.562000000005,26777.0,26476.12400000001,2023-09-16T02:15:00+00:00,5,loss,2023-09-18T07:30:00+00:00,26777.0,0.2234,0.6514,sl
2023-09-17,BTCUSDT,SHORT,26610.07,2023-09-17T12:00:00+00:00,2023-09-17T14:35:00+00:00,155.0,26585.146,26611.98,26558.312,2023-09-17T10:45:00+00:00,3,win,2023-09-17T14:42:00+00:00,26558.312,0.1043,0.0152,tp
2023-09-18,BTCUSDT,LONG,26467.89,2023-09-18T02:15:00+00:00,2023-09-21T13:32:00+00:00,4997.0,26489.428000000004,26377.35,26601.50600000001,2023-09-18T00:30:00+00:00,5,win,2023-09-21T15:07:00+00:00,26601.50600000001,0.4543,0.4218,tp
2023-09-19,BTCUSDT,SHORT,26815.22,2023-09-19T06:00:00+00:00,2023-09-19T06:35:00+00:00,35.0,26799.442000000003,26860.0,26738.884000000005,2023-09-19T04:45:00+00:00,3,loss,2023-09-19T07:31:00+00:00,26860.0,0.003,0.226,sl
2023-09-21,BTCUSDT,LONG,26942.72,2023-09-21T03:45:00+00:00,2023-09-21T04:05:00+00:00,20.0,27007.376000000004,26936.66,27078.092000000008,2023-09-21T02:30:00+00:00,3,win,2023-09-21T04:39:00+00:00,27078.092000000008,0.2638,0.0604,tp
2023-09-24,BTCUSDT,SHORT,26581.55,2023-09-24T02:30:00+00:00,2023-09-24T02:45:00+00:00,15.0,26584.096,26584.32,26583.872000000003,2023-09-24T00:30:00+00:00,6,loss,2023-09-24T02:45:00+00:00,26584.32,0.0074,0.0222,sl
2023-09-29,BTCUSDT,SHORT,27076.96,2023-09-29T02:30:00+00:00,2023-09-29T06:41:00+00:00,251.0,26999.056000000004,27111.18,26886.932000000008,2023-09-29T01:15:00+00:00,3,loss,2023-09-29T07:33:00+00:00,27111.18,0.0359,0.5553,sl
2023-10-26,BTCUSDT,SHORT,34629.53,2023-10-26T05:45:00+00:00,2023-10-26T06:53:00+00:00,68.0,34606.272,34824.13,34388.414,2023-10-26T03:30:00+00:00,7,win,2023-10-26T10:02:00+00:00,34388.414,0.7414,0.5153,tp
2023-11-30,BTCUSDT,LONG,37608.24,2023-11-30T10:30:00+00:00,2023-11-30T10:50:00+00:00,20.0,37727.574,37553.6,37901.548,2023-11-30T08:30:00+00:00,6,win,2023-11-30T11:59:00+00:00,37901.548,0.471,0.1921,tp
2023-12-01,BTCUSDT,LONG,37717.88,2023-12-01T01:30:00+00:00,,,37802.89400000001,37615.86,37989.928000000014,2023-12-01T00:15:00+00:00,3,not_filled,,,0.0,0.0,not_filled
2023-12-11,BTCUSDT,LONG,43667.89,2023-12-11T03:15:00+00:00,2023-12-11T04:23:00+00:00,68.0,42113.876000000004,40400.0,43827.75200000001,2023-12-11T02:00:00+00:00,3,loss,2023-12-11T19:37:00+00:00,40400.0,0.872,4.2393,sl
2023-12-12,BTCUSDT,SHORT,41714.0,2023-12-12T03:45:00+00:00,2023-12-12T07:02:00+00:00,197.0,41796.57,41938.8,41654.34,2023-12-12T02:30:00+00:00,3,loss,2023-12-12T07:46:00+00:00,41938.8,0.1418,0.4102,sl
2023-12-17,BTCUSDT,LONG,41774.0,2023-12-17T07:00:00+00:00,2023-12-17T07:26:00+00:00,26.0,41959.32800000001,41771.62,42147.036000000015,2023-12-17T05:45:00+00:00,3,loss,2023-12-17T08:12:00+00:00,41771.62,0.079,0.618,sl
2023-12-20,BTCUSDT,SHORT,43314.99,2023-12-20T16:15:00+00:00,2023-12-20T16:35:00+00:00,20.0,43990.974,44283.0,43698.948000000004,2023-12-20T15:15:00+00:00,2,win,2023-12-20T16:56:00+00:00,43698.948000000004,0.9711,0.0163,tp
2023-12-25,BTCUSDT,SHORT,43073.48,2023-12-25T02:15:00+00:00,2023-12-25T02:45:00+00:00,30.0,42988.076,43085.61,42890.542,2023-12-25T01:00:00+00:00,3,loss,2023-12-25T03:13:00+00:00,43085.61,0.0235,0.2378,sl
2023-12-31,BTCUSDT,SHORT,42561.63,2023-12-31T08:30:00+00:00,2023-12-31T08:57:00+00:00,27.0,42436.224,42693.0,42179.448000000004,2023-12-31T07:30:00+00:00,2,loss,2023-12-31T09:19:00+00:00,42693.0,0.0167,0.6215,sl
2024-01-08,BTCUSDT,LONG,43619.99,2024-01-08T03:45:00+00:00,2024-01-08T04:22:00+00:00,37.0,43448.992000000006,43175.0,43722.98400000001,2024-01-08T02:45:00+00:00,2,win,2024-01-08T06:21:00+00:00,43722.98400000001,2.0548,0.0419,tp
2024-01-09,BTCUSDT,LONG,45891.1,2024-01-09T22:30:00+00:00,2024-01-09T22:53:00+00:00,23.0,45813.75000000001,44748.67,46878.830000000016,2024-01-09T21:15:00+00:00,3,loss,2024-01-10T12:54:00+00:00,44748.67,0.9764,3.04,sl
2024-01-14,BTCUSDT,SHORT,42969.35,2024-01-14T11:00:00+00:00,2024-01-14T11:27:00+00:00,27.0,42900.592,43079.0,42722.183999999994,2024-01-14T09:45:00+00:00,3,win,2024-01-14T12:21:00+00:00,42722.183999999994,0.4443,0.0889,tp
2024-01-15,BTCUSDT,SHORT,42666.0,2024-01-15T07:30:00+00:00,2024-01-15T07:46:00+00:00,16.0,42626.174,42797.06,42455.288,2024-01-15T06:15:00+00:00,3,loss,2024-01-15T13:49:00+00:00,42797.06,0.2022,0.5884,sl
2024-01-16,BTCUSDT,SHORT,43352.0,2024-01-16T23:45:00+00:00,2024-01-17T01:25:00+00:00,100.0,43189.828,43578.01,42801.646,2024-01-16T21:30:00+00:00,7,win,2024-01-17T04:30:00+00:00,42801.646,0.9133,0.0189,tp
2024-01-17,BTCUSDT,LONG,42690.0,2024-01-17T09:15:00+00:00,2024-01-17T09:31:00+00:00,16.0,42769.308000000005,42564.0,42974.61600000001,2024-01-17T08:00:00+00:00,3,loss,2024-01-17T12:35:00+00:00,42564.0,0.19,0.4875,sl
2024-01-21,BTCUSDT,LONG,41550.0,2024-01-21T18:30:00+00:00,2024-01-21T18:46:00+00:00,16.0,41682.568,41525.0,41840.136,2024-01-21T16:30:00+00:00,6,loss,2024-01-21T23:30:00+00:00,41525.0,0.3084,0.4356,sl
2024-01-23,BTCUSDT,LONG,39559.89,2024-01-23T15:15:00+00:00,,,38905.878,38555.0,39256.755999999994,2024-01-23T14:15:00+00:00,2,not_filled,,,0.0,0.0,not_filled
2024-01-26,BTCUSDT,LONG,39905.75,2024-01-26T02:00:00+00:00,2024-01-26T07:16:00+00:00,316.0,39936.454,39822.52,40050.388,2024-01-26T01:00:00+00:00,2,win,2024-01-26T08:12:00+00:00,40050.388,0.31,0.0992,tp
2024-02-02,BTCUSDT,LONG,42787.24,2024-02-02T15:15:00+00:00,2024-02-02T17:58:00+00:00,163.0,42936.962,42546.79,43327.134,2024-02-02T13:45:00+00:00,4,win,2024-02-03T00:17:00+00:00,43327.134,0.9363,0.3584,tp
2024-02-05,BTCUSDT,SHORT,42653.98,2024-02-05T05:15:00+00:00,2024-02-05T05:40:00+00:00,25.0,42694.632,42825.0,42564.263999999996,2024-02-05T04:15:00+00:00,2,loss,2024-02-05T06:11:00+00:00,42825.0,0.0339,0.3475,sl
2024-02-20,BTCUSDT,SHORT,51775.76,2024-02-20T08:15:00+00:00,2024-02-20T08:32:00+00:00,17.0,51789.0,52039.91,51538.09,2024-02-20T06:30:00+00:00,5,loss,2024-02-20T10:30:00+00:00,52039.91,0.4422,0.5157,sl
2024-02-22,BTCUSDT,LONG,51092.47,2024-02-22T15:45:00+00:00,2024-02-22T16:27:00+00:00,42.0,51466.918000000005,50940.78,51993.05600000001,2024-02-22T13:45:00+00:00,6,win,2024-02-22T20:31:00+00:00,51993.05600000001,1.1636,0.13,tp
2024-03-04,BTCUSDT,LONG,62568.01,2024-03-04T02:30:00+00:00,2024-03-04T03:02:00+00:00,32.0,63540.448000000004,62300.0,64780.89600000001,2024-03-04T00:45:00+00:00,5,win,2024-03-04T08:11:00+00:00,64780.89600000001,2.1099,0.5201,tp
2024-03-05,BTCUSDT,LONG,66125.0,2024-03-05T06:30:00+00:00,2024-03-05T07:04:00+00:00,34.0,67162.816,65089.0,69236.63200000001,2024-03-05T05:00:00+00:00,4,loss,2024-03-05T16:12:00+00:00,65089.0,2.7354,3.9063,sl
2024-03-07,BTCUSDT,LONG,65929.5,2024-03-07T02:00:00+00:00,2024-03-07T02:21:00+00:00,21.0,66163.25600000001,65551.0,66775.51200000002,2024-03-07T01:00:00+00:00,2,win,2024-03-07T08:11:00+00:00,66775.51200000002,1.035,0.7643,tp
2024-03-09,BTCUSDT,SHORT,68223.99,2024-03-09T08:00:00+00:00,2024-03-09T08:26:00+00:00,26.0,68396.76,68541.1,68252.41999999998,2024-03-09T07:00:00+00:00,2,win,2024-03-09T09:08:00+00:00,68252.41999999998,0.2292,0.0824,tp
2024-03-20,BTCUSDT,SHORT,63940.37,2024-03-20T13:15:00+00:00,2024-03-20T13:41:00+00:00,26.0,63739.078,64353.57,63124.586,2024-03-20T12:15:00+00:00,2,loss,2024-03-20T15:01:00+00:00,64353.57,0.5623,1.0291,sl
2024-03-24,BTCUSDT,SHORT,65078.16,2024-03-24T17:00:00+00:00,2024-03-24T17:40:00+00:00,40.0,65358.552,65838.88,64878.224,2024-03-24T16:00:00+00:00,2,loss,2024-03-24T18:33:00+00:00,65838.88,0.2365,0.7758,sl
